id;kategoria;tekst;aktywny;waga;tagi
479;TAK CZY NIE;TAK. Ryzyko jest wpisane w regulamin.;TAK;1;decyzje
480;TAK CZY NIE;NIE. Nie każde „a może” zasługuje na sequel.;TAK;1;decyzje
481;TAK CZY NIE;TAK. Tylko nie komplikuj.;TAK;1;decyzje
482;TAK CZY NIE;NIE. Dzisiaj los jest działem compliance.;TAK;1;decyzje
483;TAK CZY NIE;TAK. Idź za tym.;TAK;1;decyzje
484;TAK CZY NIE;TAK. Spróbuj raz i oceń potem.;TAK;1;decyzje
485;TAK CZY NIE;TAK. Masz zielone światło.;TAK;1;decyzje
486;TAK CZY NIE;TAK. Nie rób prezentacji, zrób ruch.;TAK;1;decyzje
487;TAK CZY NIE;TAK. Ale zacznij mało.;TAK;1;decyzje
488;TAK CZY NIE;TAK. I nie pytaj już czwartej osoby.;TAK;1;decyzje
489;TAK CZY NIE;TAK. Tylko zachowaj trochę rozsądku.;TAK;1;decyzje
490;TAK CZY NIE;TAK. Masz zgodę od przypadku.;TAK;1;decyzje
491;TAK CZY NIE;TAK. Najwyżej będziesz mieć historię.;TAK;1;decyzje
492;TAK CZY NIE;TAK. Zrób to po swojemu.;TAK;1;decyzje
493;TAK CZY NIE;TAK. Jeśli nadal chcesz jutro.;TAK;1;decyzje
494;TAK CZY NIE;TAK. Jeśli robisz to dla siebie.;TAK;1;decyzje
495;TAK CZY NIE;TAK. Jeśli możesz przyjąć konsekwencje.;TAK;1;decyzje
496;TAK CZY NIE;TAK. Ostrożnie, ale tak.;TAK;1;decyzje
497;TAK CZY NIE;TAK. Działaj zanim się rozmyślisz.;TAK;1;decyzje
498;TAK CZY NIE;TAK. To wygląda lepiej niż kolejne analizowanie.;TAK;1;decyzje
499;TAK CZY NIE;TAK. Masz pozwolenie od internetu.;TAK;1;decyzje
500;TAK CZY NIE;TAK. Zrób pierwszy krok.;TAK;1;decyzje
501;TAK CZY NIE;TAK. Nie czekaj na lepszą pogodę.;TAK;1;decyzje
502;TAK CZY NIE;TAK. Tak, ale bez pożyczania pieniędzy.;TAK;1;decyzje
503;TAK CZY NIE;TAK. Tak, ale nie rób z tego religii.;TAK;1;decyzje
504;TAK CZY NIE;TAK. Tak, ale miej plan wyjścia.;TAK;1;decyzje
505;TAK CZY NIE;TAK. Tak, jeśli to naprawdę Twoja decyzja.;TAK;1;decyzje
506;TAK CZY NIE;TAK. Tak, ale bez dramatycznej muzyki.;TAK;1;decyzje
507;TAK CZY NIE;TAK. Tak, jeśli nie musisz kłamać.;TAK;1;decyzje
508;TAK CZY NIE;TAK. Tak, ale wyśpij się wcześniej.;TAK;1;decyzje
509;TAK CZY NIE;TAK. Tak, pod warunkiem że to nie zemsta.;TAK;1;decyzje
510;TAK CZY NIE;TAK. Tak, ale nie rób tego dla lajków.;TAK;1;decyzje
511;TAK CZY NIE;TAK. Tak, tylko nie przeciągaj.;TAK;1;decyzje
512;TAK CZY NIE;TAK. Tak, ale z głową.;TAK;1;decyzje
513;TAK CZY NIE;NIE. Odpuść na dziś.;TAK;1;decyzje
514;TAK CZY NIE;NIE. Nie teraz.;TAK;1;decyzje
515;TAK CZY NIE;NIE. Oszczędź sobie odcinek specjalny.;TAK;1;decyzje
516;TAK CZY NIE;NIE. To nie ten moment.;TAK;1;decyzje
517;TAK CZY NIE;NIE. Nie dokładaj sobie fabuły.;TAK;1;decyzje
518;TAK CZY NIE;NIE. Twoje przyszłe ja stawia kawę.;TAK;1;decyzje
519;TAK CZY NIE;NIE. Zostaw to w spokoju.;TAK;1;decyzje
520;TAK CZY NIE;NIE. Daj temu 24 godziny.;TAK;1;decyzje
521;TAK CZY NIE;NIE. Nie musisz sprawdzać wszystkiego osobiście.;TAK;1;decyzje
522;TAK CZY NIE;NIE. Tym razem wybierz nudę.;TAK;1;decyzje
523;TAK CZY NIE;NIE. Za dużo czerwonych flag.;TAK;1;decyzje
524;TAK CZY NIE;NIE. Brzmi jak kłopot.;TAK;1;decyzje
525;TAK CZY NIE;NIE. To pachnie komplikacją.;TAK;1;decyzje
526;TAK CZY NIE;NIE. Nie warto tej energii.;TAK;1;decyzje
527;TAK CZY NIE;NIE. Nie potrzebujesz tego.;TAK;1;decyzje
528;TAK CZY NIE;NIE. Odłóż telefon.;TAK;1;decyzje
529;TAK CZY NIE;NIE. Wyśpij się z tym.;TAK;1;decyzje
530;TAK CZY NIE;NIE. Zjedz coś i wróć.;TAK;1;decyzje
531;TAK CZY NIE;NIE. To nie jest okazja, tylko przebrany problem.;TAK;1;decyzje
532;TAK CZY NIE;NIE. Dzisiaj nie.;TAK;1;decyzje
533;TAK CZY NIE;NIE. Nie, jeśli musisz ukrywać szczegóły.;TAK;1;decyzje
534;TAK CZY NIE;NIE. Nie, jeśli liczysz na cud.;TAK;1;decyzje
535;TAK CZY NIE;NIE. Nie, jeśli to czysta presja.;TAK;1;decyzje
536;TAK CZY NIE;NIE. Nie, jeśli potem będziesz usuwać wiadomości.;TAK;1;decyzje
537;TAK CZY NIE;NIE. Nie, jeśli nie umiesz powiedzieć po co.;TAK;1;decyzje
538;TAK CZY NIE;NIE. Nie, jeśli to ma komuś coś udowodnić.;TAK;1;decyzje
539;TAK CZY NIE;NIE. Nie, jeśli już czujesz kaca moralnego.;TAK;1;decyzje
540;TAK CZY NIE;NIE. Nie, jeśli trzeba to mocno tłumaczyć.;TAK;1;decyzje
541;TAK CZY NIE;NIE. Nie, jeśli plan zaczyna się od „co może pójść nie tak”.;TAK;1;decyzje
542;TAK CZY NIE;NIE. Nie, wybierz spokój.;TAK;1;decyzje
543;18+;Jeśli oboje tego chcecie, rozmawiajcie wprost. Seksowniej niż zgadywanie.;TAK;1;18+
544;18+;Flirt ma być zabawą dla dwóch osób, nie egzaminem dla jednej.;TAK;1;18+
545;18+;Jeśli trzeba przekonywać, to odpowiedź już brzmi „nie”.;TAK;1;18+
546;18+;Zgoda może być wycofana w każdej chwili. Nawet w połowie świetnego planu.;TAK;1;18+
547;18+;Nie myl chemii z kompatybilnością. Jedno robi iskry, drugie płaci rachunki.;TAK;1;18+
548;18+;Nie każdy crush zasługuje na wiadomość o 2:17.;TAK;1;18+
549;18+;Nie rób niczego tylko dlatego, że boisz się wyjść na nudnego.;TAK;1;18+
550;18+;Jeśli nie możesz o tym porozmawiać na trzeźwo, może nie warto robić tego po pijaku.;TAK;1;18+
551;18+;Granice są sexy. Chaos bez zgody już mniej.;TAK;1;18+
552;18+;Nie każda noc musi kończyć się fabułą.;TAK;1;18+
553;18+;Jeśli plan obejmuje wiadomość do ex, upewnij się, że wszyscy naprawdę tego chcą.;TAK;1;18+
554;18+;Jeśli plan obejmuje wiadomość do ex, zostaw sobie prawo do zmiany zdania.;TAK;1;18+
555;18+;Jeśli plan obejmuje wiadomość do ex, sprawdź, czy rano nadal uznasz to za dobry pomysł.;TAK;1;18+
556;18+;Jeśli plan obejmuje wiadomość do ex, nie myl presji z chemią.;TAK;1;18+
557;18+;Jeśli plan obejmuje wiadomość do ex, pamiętaj, że zgoda jest ważniejsza niż momentum.;TAK;1;18+
558;18+;Jeśli plan obejmuje wiadomość do ex, zadbaj o bezpieczeństwo zanim zadbasz o fabułę.;TAK;1;18+
559;18+;Jeśli plan obejmuje seks bez zobowiązań, upewnij się, że wszyscy naprawdę tego chcą.;TAK;1;18+
560;18+;Jeśli plan obejmuje seks bez zobowiązań, zostaw sobie prawo do zmiany zdania.;TAK;1;18+
561;18+;Jeśli plan obejmuje seks bez zobowiązań, sprawdź, czy rano nadal uznasz to za dobry pomysł.;TAK;1;18+
562;18+;Jeśli plan obejmuje seks bez zobowiązań, nie myl presji z chemią.;TAK;1;18+
563;18+;Jeśli plan obejmuje seks bez zobowiązań, pamiętaj, że zgoda jest ważniejsza niż momentum.;TAK;1;18+
564;18+;Jeśli plan obejmuje seks bez zobowiązań, zadbaj o bezpieczeństwo zanim zadbasz o fabułę.;TAK;1;18+
565;18+;Jeśli plan obejmuje nocny spontan, upewnij się, że wszyscy naprawdę tego chcą.;TAK;1;18+
566;18+;Jeśli plan obejmuje nocny spontan, zostaw sobie prawo do zmiany zdania.;TAK;1;18+
567;18+;Jeśli plan obejmuje nocny spontan, sprawdź, czy rano nadal uznasz to za dobry pomysł.;TAK;1;18+
568;18+;Jeśli plan obejmuje nocny spontan, nie myl presji z chemią.;TAK;1;18+
569;18+;Jeśli plan obejmuje nocny spontan, pamiętaj, że zgoda jest ważniejsza niż momentum.;TAK;1;18+
570;18+;Jeśli plan obejmuje nocny spontan, zadbaj o bezpieczeństwo zanim zadbasz o fabułę.;TAK;1;18+
571;18+;Jeśli plan obejmuje odważny flirt, upewnij się, że wszyscy naprawdę tego chcą.;TAK;1;18+
572;18+;Jeśli plan obejmuje odważny flirt, zostaw sobie prawo do zmiany zdania.;TAK;1;18+
573;18+;Jeśli plan obejmuje odważny flirt, sprawdź, czy rano nadal uznasz to za dobry pomysł.;TAK;1;18+
574;18+;Jeśli plan obejmuje odważny flirt, nie myl presji z chemią.;TAK;1;18+
575;18+;Jeśli plan obejmuje odważny flirt, pamiętaj, że zgoda jest ważniejsza niż momentum.;TAK;1;18+
576;18+;Jeśli plan obejmuje odważny flirt, zadbaj o bezpieczeństwo zanim zadbasz o fabułę.;TAK;1;18+
577;18+;Jeśli plan obejmuje bardzo głupi zakład, upewnij się, że wszyscy naprawdę tego chcą.;TAK;1;18+
578;18+;Jeśli plan obejmuje bardzo głupi zakład, zostaw sobie prawo do zmiany zdania.;TAK;1;18+
579;18+;Jeśli plan obejmuje bardzo głupi zakład, sprawdź, czy rano nadal uznasz to za dobry pomysł.;TAK;1;18+
580;18+;Jeśli plan obejmuje bardzo głupi zakład, nie myl presji z chemią.;TAK;1;18+
581;18+;Jeśli plan obejmuje bardzo głupi zakład, pamiętaj, że zgoda jest ważniejsza niż momentum.;TAK;1;18+
582;18+;Jeśli plan obejmuje bardzo głupi zakład, zadbaj o bezpieczeństwo zanim zadbasz o fabułę.;TAK;1;18+
583;18+;Jeśli plan obejmuje randkę po imprezie, upewnij się, że wszyscy naprawdę tego chcą.;TAK;1;18+
584;18+;Jeśli plan obejmuje randkę po imprezie, zostaw sobie prawo do zmiany zdania.;TAK;1;18+
585;18+;Jeśli plan obejmuje randkę po imprezie, sprawdź, czy rano nadal uznasz to za dobry pomysł.;TAK;1;18+
586;18+;Jeśli plan obejmuje randkę po imprezie, nie myl presji z chemią.;TAK;1;18+
587;18+;Jeśli plan obejmuje randkę po imprezie, pamiętaj, że zgoda jest ważniejsza niż momentum.;TAK;1;18+
588;18+;Jeśli plan obejmuje randkę po imprezie, zadbaj o bezpieczeństwo zanim zadbasz o fabułę.;TAK;1;18+
589;18+;Jeśli plan obejmuje wysłanie zdjęcia, upewnij się, że wszyscy naprawdę tego chcą.;TAK;1;18+
590;18+;Jeśli plan obejmuje wysłanie zdjęcia, zostaw sobie prawo do zmiany zdania.;TAK;1;18+
591;18+;Jeśli plan obejmuje wysłanie zdjęcia, sprawdź, czy rano nadal uznasz to za dobry pomysł.;TAK;1;18+
592;18+;Jeśli plan obejmuje wysłanie zdjęcia, nie myl presji z chemią.;TAK;1;18+
593;18+;Jeśli plan obejmuje wysłanie zdjęcia, pamiętaj, że zgoda jest ważniejsza niż momentum.;TAK;1;18+
594;18+;Jeśli plan obejmuje wysłanie zdjęcia, zadbaj o bezpieczeństwo zanim zadbasz o fabułę.;TAK;1;18+
595;18+;Jeśli plan obejmuje powrót do dawnej relacji, upewnij się, że wszyscy naprawdę tego chcą.;TAK;1;18+
596;18+;Jeśli plan obejmuje powrót do dawnej relacji, zostaw sobie prawo do zmiany zdania.;TAK;1;18+
597;18+;Jeśli plan obejmuje powrót do dawnej relacji, sprawdź, czy rano nadal uznasz to za dobry pomysł.;TAK;1;18+
598;18+;Jeśli plan obejmuje powrót do dawnej relacji, nie myl presji z chemią.;TAK;1;18+
599;18+;Jeśli plan obejmuje powrót do dawnej relacji, pamiętaj, że zgoda jest ważniejsza niż momentum.;TAK;1;18+
600;18+;Jeśli plan obejmuje powrót do dawnej relacji, zadbaj o bezpieczeństwo zanim zadbasz o fabułę.;TAK;1;18+
